Combined Rank,PLAYER,TEAM,Andy Behrens,Dahlton Del Don,Yahoo Staff
1,Kevin Durant ,GSW ,1,1,5
2,Russell Westbrook ,OKC ,2,5,1
3,James Harden ,HOU ,6,2,3
4,Stephen Curry ,GSW ,3,6,4
5,Giannis Antetokounmpo ,MIL ,9,3,2
6,Karl-Anthony Towns ,MIN ,7,4,6
7,Anthony Davis ,NOR ,4,8,7
8,Kawhi Leonard ,TOR ,5,7,9
9,LeBron James ,LAL ,8,13,10
10,Nikola Jokic ,DEN ,11,9,11
11,John Wall ,WAS ,10,16,8
12,Chris Paul ,HOU ,13,10,16
13,Kyrie Irving ,BOS ,15,11,15
14,Rudy Gobert ,UTH ,12,18,13
15,DeMarcus Cousins ,GSW ,14,17,14
16,Jimmy Butler ,PHI ,17,12,20
17,Damian Lillard ,POR ,18,14,18
18,Paul George ,OKC ,28,19,12
19,Hassan Whiteside ,MIA ,16,23,21
20,Kristaps Porzingis ,NYK ,22,20,19
21,Kemba Walker ,CHA ,19,26,22
22,Kyle Lowry ,TOR ,21,22,24
23,Mike Conley ,MEM ,23,21,27
24,CJ McCollum ,POR ,20,30,23
25,Myles Turner ,IND ,27,15,32
26,Draymond Green ,GSW ,34,24,17
27,Joel Embiid ,PHI ,26,25,31
28,Bradley Beal ,WAS ,25,28,33
29,Eric Bledsoe ,MIL ,24,34,29
30,Blake Griffin ,DET ,30,33,26
31,Marc Gasol ,MEM ,29,27,35
32,Gordon Hayward ,BOS ,42,29,25
33,Klay Thompson ,GSW ,43,31,28
34,Kevin Love ,CLE ,32,37,39
35,DeMar DeRozan ,SAS ,47,32,30
36,Goran Dragic ,MIA ,31,44,37
37,Brook Lopez ,MIL ,35,36,44
38,Paul Millsap ,DEN ,36,42,38
39,Ricky Rubio ,UTH ,37,39,45
40,Khris Middleton ,MIL ,50,43,36
41,Otto Porter Jr. ,WAS ,56,35,40
42,Al Horford ,BOS ,49,38,48
43,Jrue Holiday ,NOR ,39,46,50
44,DeAndre Jordan ,DAL ,40,48,47
45,Jeff Teague ,MIN ,33,66,41
46,Dennis Schroder ,OKC ,52,54,34
47,Jusuf Nurkic ,POR ,38,67,43
48,Nikola Vucevic ,ORL ,54,40,54
49,LaMarcus Aldridge ,SAS ,51,49,49
50,Serge Ibaka ,TOR ,44,51,57
51,Devin Booker ,PHO ,41,60,53
52,Victor Oladipo ,IND ,45,41,69
53,Carmelo Anthony ,HOU ,61,56,56
54,Andre Drummond ,DET ,58,65,55
55,Elfrid Payton ,NOR ,74,63,42
56,D'Angelo Russell ,BKN ,65,55,60
57,Ben Simmons ,PHI ,82,61,46
58,Marcin Gortat ,LAC ,46,112,51
59,Lonzo Ball ,LAL ,68,58,73
60,Clint Capela ,HOU ,62,68,70
61,Aaron Gordon ,ORL ,80,50,71
62,Isaiah Thomas ,DEN ,71,79,52
63,Lou Williams ,LAC ,55,73,77
64,Andrew Wiggins ,MIN ,64,78,66
65,Avery Bradley ,LAC ,73,57,80
66,Jonas Valanciunas ,TOR ,48,100,64
67,Harrison Barnes ,DAL ,79,69,65
68,Tobias Harris ,LAC ,,52,61
69,Robert Covington ,MIN ,128,53,63
70,Nerlens Noel ,OKC ,88,45,87
71,Dwight Howard ,WAS ,59,102,62
72,Trevor Ariza ,PHO ,104,64,59
73,Julius Randle ,NOR ,60,92,72
74,Dennis Smith Jr. ,DAL ,66,77,81
75,George Hill ,CLE ,53,98,74
76,Patrick Beverley ,LAC ,70,74,88
77,Danilo Gallinari ,LAC ,96,71,67
78,Jae Crowder ,UTH ,91,97,58
79,Jamal Murray ,DEN ,,59,86
80,Gary Harris ,DEN ,,47,101
81,Kentavious Caldwell-Pope ,LAL ,75,104,75
82,Markelle Fultz ,PHI ,69,83,112
83,Dario Saric ,MIN ,86,179,68
84,Gorgui Dieng ,MIN ,95,70,92
85,Dirk Nowitzki ,DAL ,57,119,106
86,Malcolm Brogdon ,MIL ,78,118,82
87,Dwyane Wade ,MIA ,63,101,98
88,Steven Adams ,OKC ,77,105,85
89,James Johnson ,MIA ,,84,78
90,Willy Hernangomez ,CHA ,81,81,104
91,Thaddeus Young ,IND ,,62,128
92,Tim Hardaway Jr. ,NYK ,,72,94
93,Eric Gordon ,HOU ,83,125,83
94,Marcus Smart ,BOS ,87,86,95
95,Zach Randolph ,SAC ,67,166,153
96,Darren Collison ,IND ,93,80,96
97,Evan Fournier ,ORL ,,95,76
98,Derrick Rose ,MIN ,72,170,166
99,Zach LaVine ,CHI ,76,99,137
100,Marquese Chriss ,HOU ,103,75,131
101,Enes Kanter ,NYK ,,158,79
102,JJ Redick ,PHI ,110,87,93
103,Marvin Williams ,CHA ,117,82,113
104,Taurean Prince ,ATL ,,85,141
105,Rajon Rondo ,LAL ,85,109,129
106,Markieff Morris ,WAS ,,89,97
107,Nikola Mirotic ,NOR ,100,88,149
108,Pau Gasol ,SAS ,94,94,103
109,Robin Lopez ,CHI ,89,131,126
110,Rudy Gay ,SAS ,,122,89
111,Buddy Hield ,SAC ,90,110,132
112,Wilson Chandler ,PHI ,,120,90
113,Allen Crabbe ,BKN ,,90,108
114,Rondae Hollis-Jefferson ,BKN ,,91,169
115,Wesley Matthews ,DAL ,109,165,91
116,Jordan Clarkson ,CLE ,92,181,122
117,Brandon Ingram ,LAL ,,93,120
118,Joe Ingles ,UTH ,,96,119
119,Taj Gibson ,MIN ,97,202,161
120,Reggie Jackson ,DET ,99,146,114
121,Willie Cauley-Stein ,SAC ,106,103,99
122,Greg Monroe ,TOR ,119,111,100
123,Nicolas Batum ,CHA ,101,117,154
124,Frank Kaminsky ,CHA ,102,161,111
125,Dion Waiters ,MIA ,,130,102
126,Michael Kidd-Gilchrist ,CHA ,,127,105
127,Kent Bazemore ,ATL ,105,124,107
128,Derrick Favors ,UTH ,129,106,136
129,Josh Richardson ,MIA ,,107,186
130,Will Barton ,DEN ,107,168,110
131,Jahlil Okafor ,NOR ,108,201,185
132,Tyler Johnson ,MIA ,,142,109
133,Kelly Olynyk ,MIA ,111,162,143
134,Monta Ellis ,FA ,112,200,
135,Marcus Morris ,BOS ,113,177,118
136,Kris Dunn ,CHI ,123,113,139
137,Emmanuel Mudiay ,NYK ,114,206,
138,TJ Warren ,PHO ,116,114,116
139,Justise Winslow ,MIA ,115,145,150
140,Ryan Anderson ,PHO ,,128,115
141,Rodney Hood ,CLE ,,115,127
142,Dewayne Dedmon ,ATL ,,116,206
